epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2734.05,0.94608,1.8198,0.91606,1.21184,0.64968,0.48103,0.53737,0.40357,0.66598,0.47255,0.52864,0.35358,1.17101,2.34948,1.15769,1.25409,0.000198004,0.000198004,0.000198004
79,2769,0.94291,1.80746,0.9109,1.21216,0.66551,0.52278,0.54546,0.4164,0.66106,0.51874,0.53407,0.35659,1.17303,2.3551,1.14544,1.25085,0.000189757,0.000189757,0.000189757
80,2804.09,0.93207,1.80995,0.91771,1.2096,0.64295,0.49044,0.52565,0.40938,0.65913,0.47677,0.51577,0.35442,1.16285,2.35907,1.16167,1.24244,0.000181511,0.000181511,0.000181511
81,2839.09,0.9596,1.82557,0.8968,1.20439,0.6252,0.52116,0.53825,0.41161,0.61343,0.51413,0.5315,0.36322,1.16143,2.32265,1.15043,1.24317,0.000173264,0.000173264,0.000173264
82,2874.26,0.94892,1.808,0.89113,1.20529,0.6726,0.4703,0.52704,0.40612,0.66993,0.47103,0.51346,0.35167,1.16619,2.35191,1.15972,1.23275,0.000165017,0.000165017,0.000165017
83,2909.07,0.93676,1.7835,0.88205,1.204,0.72399,0.49652,0.53641,0.41413,0.72139,0.49542,0.53135,0.35096,1.16216,2.41701,1.16346,1.23887,0.000156771,0.000156771,0.000156771
84,2943.96,0.93885,1.77147,0.88075,1.20264,0.58275,0.54686,0.54243,0.41435,0.57901,0.54551,0.53582,0.36681,1.163,2.38978,1.17791,1.23643,0.000148524,0.000148524,0.000148524
85,2979.12,0.922,1.73391,0.86424,1.18992,0.66012,0.51884,0.54036,0.40863,0.66028,0.52698,0.53833,0.35771,1.16939,2.36911,1.18273,1.2406,0.000140277,0.000140277,0.000140277
86,3014.02,0.9317,1.77463,0.87458,1.20551,0.66396,0.51268,0.5328,0.40536,0.64072,0.50592,0.51987,0.35424,1.1693,2.41247,1.1725,1.24679,0.000132031,0.000132031,0.000132031
87,3048.85,0.94892,1.80073,0.87121,1.1993,0.70179,0.48135,0.53844,0.41055,0.66176,0.47656,0.52379,0.35822,1.17826,2.369,1.16829,1.25651,0.000123784,0.000123784,0.000123784
88,3083.76,0.93091,1.75943,0.8769,1.20245,0.62459,0.52183,0.54193,0.40616,0.60917,0.51359,0.52566,0.35888,1.18546,2.39613,1.1824,1.25811,0.000115537,0.000115537,0.000115537
89,3118.68,0.93513,1.76191,0.86566,1.19424,0.63938,0.54126,0.54854,0.41436,0.62983,0.53813,0.53747,0.36328,1.16242,2.37216,1.17168,1.24118,0.00010729,0.00010729,0.00010729
90,3153.6,0.93139,1.7723,0.85086,1.19457,0.68921,0.47791,0.5364,0.41373,0.67171,0.47332,0.52792,0.36494,1.1658,2.37012,1.18212,1.23649,9.90437e-05,9.90437e-05,9.90437e-05
91,3189.04,1.0661,1.9544,1.01032,1.26103,0.66782,0.4996,0.54881,0.4099,0.66576,0.50024,0.54014,0.36118,1.18586,2.44248,1.15913,1.25708,9.0797e-05,9.0797e-05,9.0797e-05
92,3223.23,1.02619,1.86943,0.86404,1.22721,0.66138,0.502,0.52741,0.39611,0.65275,0.49519,0.51497,0.34746,1.17719,2.47948,1.14457,1.26808,8.25503e-05,8.25503e-05,8.25503e-05
93,3257.38,1.03346,1.87168,0.85971,1.22905,0.6561,0.54334,0.54932,0.41248,0.65824,0.53598,0.54331,0.36676,1.16697,2.39953,1.14256,1.2581,7.43036e-05,7.43036e-05,7.43036e-05
94,3291.52,1.01216,1.8302,0.84364,1.22436,0.65884,0.54494,0.55355,0.40737,0.64643,0.53459,0.54492,0.36538,1.18701,2.39578,1.13786,1.26671,6.60569e-05,6.60569e-05,6.60569e-05
95,3325.64,1.01948,1.81901,0.82882,1.22036,0.64995,0.5414,0.54009,0.40512,0.64957,0.53463,0.53301,0.35932,1.17174,2.39491,1.1668,1.25901,5.78102e-05,5.78102e-05,5.78102e-05
96,3359.8,1.01331,1.82429,0.81647,1.22005,0.69719,0.50512,0.54468,0.40957,0.69443,0.49985,0.5333,0.36128,1.17058,2.42638,1.14148,1.25994,4.95635e-05,4.95635e-05,4.95635e-05
97,3393.98,1.00984,1.82706,0.80526,1.20909,0.62869,0.5295,0.53705,0.40613,0.62786,0.52736,0.52764,0.36083,1.16783,2.4166,1.16946,1.26018,4.13168e-05,4.13168e-05,4.13168e-05
98,3428.14,1.00659,1.79533,0.802,1.21351,0.65869,0.52223,0.53586,0.3962,0.65112,0.51705,0.5233,0.35378,1.16671,2.40545,1.15057,1.26666,3.30701e-05,3.30701e-05,3.30701e-05
99,3462.34,0.99764,1.80174,0.8075,1.21122,0.69734,0.49962,0.54221,0.40197,0.67973,0.49171,0.52657,0.35882,1.17242,2.40561,1.13916,1.26553,2.48234e-05,2.48234e-05,2.48234e-05
100,3496.56,0.98887,1.78168,0.79006,1.20692,0.63552,0.52143,0.53693,0.40043,0.62329,0.51051,0.52337,0.35234,1.17613,2.4252,1.17207,1.26929,1.65767e-05,1.65767e-05,1.65767e-05
